
327802.68501, 3,  -1.138,  8.399,  5.414, 4,   0.289, -0.016, -0.008, 5,  -4.790,  0.650, 19.380 ,  0.0
  
327802.69499, 3,  -1.101,  8.297,  5.055, 4,   0.213,  0.078, -0.049, 5,  -5.000,  0.300, 18.700 ,  0.00997999997343868
  
327802.70498, 3,  -1.132,  8.279,  4.889, 4,   0.128,  0.100, -0.087, 5,  -5.000,  0.300, 18.700 ,  0.009989999991375953
  
327802.71498, 3,  -1.217,  8.256,  4.870, 4,   0.040,  0.073, -0.104, 5,  -5.600,  0.200, 18.800 ,  0.010000000009313226
  
327802.72498, 3,  -1.277,  8.109,  4.943, 4,  -0.033,  0.024, -0.093, 5,  -5.600,  0.200, 18.800 ,  0.010000000009313226
  
327802.73503, 3,  -1.263,  7.910,  5.094, 4,  -0.062, -0.038, -0.055, 5,  -5.300,  0.500, 18.700 ,  0.010049999982584268
  
327802.74499, 3,  -1.227,  7.790,  5.306, 4,  -0.036, -0.082,  0.002, 5,  -5.300,  0.500, 18.700 ,  0.009959999995771796
  
327802.75499, 3,  -1.189,  7.770,  5.483, 4,   0.044, -0.083,  0.061, 5,  -5.200,  0.300, 18.700 ,  0.010000000009313226
  
327802.76502, 3,  -1.190,  7.900,  5.562, 4,   0.167, -0.050,  0.109, 5,  -5.200,  0.300, 18.700 ,  0.010030000004917383
  
327802.77504, 3,  -1.219,  8.073,  5.440, 4,   0.309,  0.012,  0.147, 5,  -5.100,  0.500, 18.500 ,  0.01001999998698011
  
327802.78503, 3,  -1.222,  8.220,  5.109, 4,   0.448,  0.077,  0.167, 5,  -5.100,  0.500, 18.500 ,  0.009990000049583614
  
327802.79500, 3,  -1.198,  8.316,  4.767, 4,   0.554,  0.106,  0.172, 5,  -5.200,  0.600, 18.700 ,  0.009969999955501407
  
327802.80499, 3,  -1.086,  8.356,  4.486, 4,   0.612,  0.078,  0.164, 5,  -5.200,  0.600, 18.700 ,  0.009989999991375953
  
327802.81500, 3,  -1.006,  8.390,  4.390, 4,   0.610,  0.012,  0.160, 5,  -5.300,  0.700, 18.700 ,  0.010010000027250499
  
327802.82503, 3,  -1.010,  8.477,  4.447, 4,   0.562, -0.045,  0.157, 5,  -5.300,  0.700, 18.700 ,  0.010030000004917383
  
327802.83503, 3,  -0.917,  8.523,  4.478, 4,   0.466, -0.079,  0.136, 5,  -5.400,  0.700, 18.800 ,  0.010000000009313226
  
327802.84502, 3,  -0.900,  8.575,  4.669, 4,   0.332, -0.107,  0.106, 5,  -5.400,  0.700, 18.800 ,  0.009989999991375953
  
327802.85503, 3,  -0.943,  8.551,  4.841, 4,   0.193, -0.110,  0.080, 5,  -5.500,  0.800, 18.900 ,  0.010009999969042838
  
327802.86503, 3,  -0.895,  8.447,  4.932, 4,   0.079, -0.082,  0.061, 5,  -5.500,  0.800, 18.900 ,  0.010000000009313226
  
327802.87500, 3,  -0.818,  8.329,  4.952, 4,   0.013, -0.035,  0.053, 5,  -5.400,  0.900, 18.800 ,  0.009970000013709068
  
327802.88499, 3,  -0.781,  8.260,  4.885, 4,   0.005,  0.023,  0.059, 5,  -5.400,  0.900, 18.800 ,  0.009989999991375953
  
327802.89503, 3,  -0.757,  8.276,  4.757, 4,   0.036,  0.079,  0.066, 5,  -5.300,  1.000, 18.700 ,  0.010040000022854656
  
327802.90502, 3,  -0.760,  8.357,  4.681, 4,   0.088,  0.099,  0.069, 5,  -5.300,  1.000, 18.700 ,  0.009989999991375953
  
